epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1670.81,0.39632,0.5176,0.94467,0.92257,0.70694,0.86458,0.78835,0.45626,0.54617,0.4981,0.003466,0.003466,0.003466
68,1689.3,0.37976,0.52092,0.94343,0.87242,0.78412,0.88947,0.81779,0.42979,0.51061,0.46812,0.003367,0.003367,0.003367
69,1707.77,0.3829,0.51547,0.94529,0.82312,0.79187,0.8756,0.80852,0.42132,0.52455,0.48424,0.003268,0.003268,0.003268
70,1725.87,0.37941,0.51488,0.94463,0.86771,0.7844,0.88522,0.81463,0.43456,0.51144,0.48997,0.003169,0.003169,0.003169
71,1747.6,0.37506,0.52096,0.93705,0.90164,0.74628,0.88037,0.80071,0.44071,0.53713,0.4875,0.00307,0.00307,0.00307
72,1810.25,0.38196,0.50976,0.9485,0.91085,0.77255,0.88674,0.81678,0.42879,0.51244,0.47894,0.002971,0.002971,0.002971
73,1835.71,0.37878,0.51201,0.943,0.88323,0.75655,0.86822,0.79953,0.42019,0.5262,0.4731,0.002872,0.002872,0.002872
74,1854.29,0.36853,0.50775,0.93566,0.90071,0.74145,0.87703,0.80845,0.41359,0.50998,0.46838,0.002773,0.002773,0.002773
75,1872.73,0.3744,0.52157,0.94601,0.8616,0.7402,0.87492,0.79591,0.4577,0.58396,0.52242,0.002674,0.002674,0.002674
76,1890.39,0.38615,0.51381,0.9477,0.87857,0.74301,0.86166,0.79222,0.40497,0.52396,0.4593,0.002575,0.002575,0.002575
77,1910.81,0.36451,0.49762,0.93556,0.85996,0.76623,0.87527,0.80198,0.41479,0.51517,0.47001,0.002476,0.002476,0.002476
78,1931.48,0.37343,0.49857,0.93911,0.82687,0.7649,0.87375,0.79945,0.43209,0.55446,0.47819,0.002377,0.002377,0.002377
79,1950.84,0.35675,0.48681,0.93893,0.91493,0.74958,0.87523,0.80854,0.4196,0.51166,0.47545,0.002278,0.002278,0.002278
80,1971.97,0.3638,0.49272,0.93768,0.89989,0.7498,0.87917,0.81085,0.40638,0.50846,0.47037,0.002179,0.002179,0.002179
81,1989.86,0.34555,0.47555,0.92794,0.88801,0.76729,0.87951,0.81072,0.41322,0.51253,0.46334,0.00208,0.00208,0.00208
82,2008.32,0.35902,0.48643,0.93529,0.90305,0.75827,0.88769,0.81487,0.40211,0.49534,0.45519,0.001981,0.001981,0.001981
83,2042.92,0.34621,0.47626,0.92984,0.92054,0.75298,0.88371,0.81144,0.40377,0.48402,0.44859,0.001882,0.001882,0.001882
84,2066.6,0.3595,0.48555,0.93293,0.90088,0.77238,0.87954,0.80945,0.38761,0.50861,0.44884,0.001783,0.001783,0.001783
85,2115.67,0.34597,0.48017,0.93146,0.88421,0.7654,0.88331,0.81415,0.39808,0.51089,0.45664,0.001684,0.001684,0.001684
86,2145.83,0.35279,0.47243,0.93231,0.85438,0.78512,0.8857,0.80752,0.39891,0.51928,0.45037,0.001585,0.001585,0.001585
87,2192.62,0.33857,0.46914,0.92909,0.86826,0.75114,0.86757,0.79809,0.41972,0.53987,0.46606,0.001486,0.001486,0.001486
88,2218,0.34533,0.47528,0.92851,0.88629,0.76676,0.87279,0.80078,0.41464,0.52438,0.46431,0.001387,0.001387,0.001387
89,2236.77,0.33566,0.46845,0.92923,0.9187,0.75889,0.88477,0.81604,0.40139,0.49258,0.45412,0.001288,0.001288,0.001288
