epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,2552.49,0.36673,0.49751,0.94462,0.86775,0.78001,0.86642,0.80091,0.42723,0.52932,0.4813,0.003664,0.003664,0.003664
66,2587.97,0.37449,0.50143,0.93842,0.87747,0.75526,0.86604,0.79644,0.43242,0.54133,0.47947,0.003565,0.003565,0.003565
67,3139.73,0.37138,0.49539,0.94093,0.88786,0.75942,0.87773,0.80944,0.42129,0.52906,0.47721,0.003466,0.003466,0.003466
68,3182.03,0.35746,0.47482,0.93809,0.88561,0.74167,0.86774,0.79942,0.40864,0.52343,0.46293,0.003367,0.003367,0.003367
69,3215.42,0.3621,0.48091,0.9383,0.92217,0.75089,0.87701,0.81376,0.41393,0.51027,0.4689,0.003268,0.003268,0.003268
70,3263.06,0.36381,0.48204,0.93284,0.89054,0.75218,0.87615,0.80442,0.42824,0.54292,0.48926,0.003169,0.003169,0.003169
71,3440.01,0.36217,0.48422,0.9315,0.89357,0.7261,0.86446,0.79795,0.42216,0.5397,0.46809,0.00307,0.00307,0.00307
72,3475.4,0.36145,0.48303,0.93616,0.81828,0.75186,0.8699,0.79282,0.44067,0.60095,0.48813,0.002971,0.002971,0.002971
73,3509.42,0.35681,0.47507,0.93344,0.86979,0.75548,0.86986,0.79295,0.45019,0.53306,0.52126,0.002872,0.002872,0.002872
74,3541.99,0.34146,0.45705,0.92857,0.84274,0.80046,0.88656,0.81572,0.41183,0.51795,0.47091,0.002773,0.002773,0.002773
75,3575.3,0.35162,0.46333,0.93246,0.89736,0.75664,0.88599,0.82066,0.41319,0.49857,0.4699,0.002674,0.002674,0.002674
76,3613.25,0.35197,0.45995,0.93307,0.89249,0.78798,0.88733,0.82523,0.40011,0.49397,0.45806,0.002575,0.002575,0.002575
77,3648.46,0.34056,0.45908,0.92983,0.87145,0.81659,0.89719,0.82293,0.41322,0.51399,0.4514,0.002476,0.002476,0.002476
78,3804.08,0.34257,0.45886,0.92537,0.87995,0.77227,0.8853,0.81897,0.40243,0.50864,0.44752,0.002377,0.002377,0.002377
79,4097.96,0.34207,0.46911,0.92783,0.89442,0.74103,0.87525,0.80256,0.43003,0.51681,0.47697,0.002278,0.002278,0.002278
80,4142.07,0.33731,0.4561,0.92514,0.87556,0.77363,0.89006,0.81732,0.4085,0.53051,0.45864,0.002179,0.002179,0.002179
81,4179.22,0.3263,0.435,0.92278,0.87236,0.78365,0.88607,0.81891,0.40321,0.49672,0.45379,0.00208,0.00208,0.00208
82,4233.3,0.33276,0.44174,0.92066,0.87384,0.76012,0.8804,0.80373,0.41768,0.52658,0.4744,0.001981,0.001981,0.001981
83,4301.03,0.32904,0.44538,0.92471,0.89477,0.77225,0.88843,0.82331,0.39687,0.50031,0.45274,0.001882,0.001882,0.001882
84,4382.07,0.3302,0.44776,0.92122,0.88399,0.79939,0.88354,0.80748,0.40594,0.52843,0.45997,0.001783,0.001783,0.001783
85,4448.17,0.33179,0.42671,0.92109,0.91163,0.773,0.88576,0.82022,0.39946,0.48169,0.44964,0.001684,0.001684,0.001684
86,4517.78,0.32302,0.43421,0.92365,0.86464,0.79284,0.88274,0.81134,0.41785,0.5213,0.47597,0.001585,0.001585,0.001585
87,4606.65,0.33136,0.43394,0.92205,0.89722,0.78009,0.88833,0.81972,0.40694,0.49529,0.46121,0.001486,0.001486,0.001486
88,4650.31,0.32329,0.42795,0.91809,0.91047,0.76725,0.88092,0.81461,0.40341,0.50264,0.45728,0.001387,0.001387,0.001387
89,4684.97,0.32343,0.41859,0.91762,0.86907,0.79005,0.89432,0.82734,0.39224,0.48406,0.45297,0.001288,0.001288,0.001288
90,4988.56,0.32145,0.4158,0.91618,0.87749,0.79705,0.88582,0.82152,0.3898,0.4849,0.4454,0.001189,0.001189,0.001189
91,5303.39,0.4393,0.46602,0.95459,0.9062,0.72599,0.86841,0.79377,0.41258,0.54254,0.45481,0.00109,0.00109,0.00109
92,5346.28,0.4164,0.4216,0.94094,0.82903,0.80402,0.8828,0.8161,0.40055,0.49827,0.45247,0.000991,0.000991,0.000991
93,5497.3,0.41458,0.41156,0.93502,0.9159,0.75524,0.88973,0.82506,0.39486,0.48236,0.44779,0.000892,0.000892,0.000892
94,5674.21,0.41285,0.39966,0.93342,0.88846,0.77799,0.88362,0.8217,0.3817,0.4836,0.43958,0.000793,0.000793,0.000793
95,5725.63,0.40025,0.39159,0.92354,0.87951,0.7989,0.88383,0.82078,0.38651,0.48582,0.44176,0.000694,0.000694,0.000694
96,6205.38,0.39817,0.39962,0.92096,0.88494,0.82118,0.88964,0.82268,0.39443,0.48288,0.44525,0.000595,0.000595,0.000595
97,6246.56,0.40051,0.38913,0.92346,0.88552,0.81483,0.8931,0.82764,0.39182,0.47841,0.4434,0.000496,0.000496,0.000496
98,6373.95,0.39249,0.38001,0.91708,0.88757,0.78567,0.88353,0.82154,0.39085,0.49023,0.44624,0.000397,0.000397,0.000397
99,6446.59,0.3892,0.39237,0.91614,0.87223,0.80414,0.88809,0.82517,0.39502,0.48463,0.44778,0.000298,0.000298,0.000298
100,6486.29,0.3745,0.37191,0.91288,0.88818,0.80018,0.89171,0.82927,0.38744,0.47538,0.4411,0.000199,0.000199,0.000199
